district,facility_count,mean_usage_per_locker,median_usage_per_locker,cv_usage_per_locker,max_min_gap,low_utilization_facilities,middle_utilization_facilities,high_utilization_facilities,top_facility_name,top_facility_usage_per_locker,bottom_facility_name,bottom_facility_usage_per_locker,final_action_label,action_tier,final_evidence_strength,long_term_trend,recent_trend,high_utilization_share_pct,low_utilization_share_pct,facility_dispersion_type,facility_level_implication
강남구,7,11.95,12.39,0.44,15.51,1,4,2,대치4동 주민센터,19.44,도곡1동 주민센터,3.93,증설 우선 검토,1,medium,대체로 유지,최근 증가,28.57,14.29,시설 간 편차 중간,자치구 전략 유지하되 시설별 성과 차이 함께 모니터링
관악구,13,9.13,8.87,0.55,17.12,3,6,4,인헌동주민센터,20.32,미성체육관,3.21,증설 전 이용감소 원인 점검,2,high,장기 감소,최근 감소,30.77,23.08,시설 간 편차 큼,자치구 일괄 대응보다 고활용 거점 보강과 저활용 시설 점검 병행
노원구,7,9.88,9.61,0.53,14.57,1,4,2,상계역 자전거대여소,17.73,"상계3,4동 주민센터",3.16,증설 전 이용감소 원인 점검,2,medium,장기 감소,최근 감소,28.57,14.29,시설 간 편차 큼,자치구 일괄 대응보다 고활용 거점 보강과 저활용 시설 점검 병행
동대문구,9,10.1,9.72,0.5,12.1,2,4,3,답십리도서관,16.53,이문체육문화센터,4.43,증설 전 이용감소 원인 점검,2,medium,장기 감소,최근 감소,33.33,22.22,시설 간 편차 큼,자치구 일괄 대응보다 고활용 거점 보강과 저활용 시설 점검 병행
송파구,10,11.64,11.28,0.46,18.22,2,5,3,석촌동주민센터,20.03,삼전지구대,1.81,증설 조건부 검토,2,medium,장기 증가,최근 감소,30.0,20.0,시설 간 편차 중간,자치구 전략 유지하되 시설별 성과 차이 함께 모니터링
서초구,6,10.86,10.1,0.45,13.58,1,3,2,방배열린문화센터,19.33,방배2동 주민센터,5.75,증설 조건부 검토,2,medium,대체로 유지,최근 유지,33.33,16.67,시설 간 편차 중간,자치구 전략 유지하되 시설별 성과 차이 함께 모니터링
강서구,13,8.58,7.66,0.44,14.22,3,6,4,볏골공원공영주차장,18.84,공항동 주민센터,4.62,증설 조건부 검토,2,high,장기 감소,최근 유지,30.77,23.08,시설 간 편차 중간,자치구 전략 유지하되 시설별 성과 차이 함께 모니터링
은평구,8,11.85,11.75,0.43,14.67,2,4,2,역촌동 주민센터,18.67,갈현청소년센터쉼쉼,4.0,증설 조건부 검토,2,medium,장기 감소,최근 유지,25.0,25.0,시설 간 편차 중간,자치구 전략 유지하되 시설별 성과 차이 함께 모니터링
성북구,7,10.39,10.62,0.41,12.2,1,4,2,장위1동 주민센터,15.86,제일빌딩,3.66,증설 조건부 검토,2,medium,장기 감소,최근 유지,28.57,14.29,시설 간 편차 중간,자치구 전략 유지하되 시설별 성과 차이 함께 모니터링
중랑구,5,10.02,8.39,0.39,7.9,1,2,2,상봉1동주민센터,14.39,상봉2동주민센터,6.48,증설 판단 전 데이터 보강,2,limited,장기 감소,최근 감소,40.0,20.0,시설 간 편차 중간,자치구 전략 유지하되 시설별 성과 차이 함께 모니터링
도봉구,7,8.74,6.17,0.8,19.89,1,4,2,도봉구민회관,20.06,도봉서원종합사회복지관,0.18,저활용 구조 재검토 우선,3,medium,장기 감소,최근 유지,28.57,14.29,시설 간 편차 큼,자치구 일괄 대응보다 고활용 거점 보강과 저활용 시설 점검 병행
